state,Asian,Black,Hispanic,Native American,Pacific Islander,Unknown race,White,Total
OK,0.0,0.7061099695666604,0.21189538301149957,0.0,0.0,0.7746313400347551,0.6646759621599975,0.5556463391872359
OR,0.0,0.0,0.0,0.0,0.0,0.3550543765777729,0.06587272467374886,0.07080053695127224
PA,0.0,0.5843775429554018,0.0,0.0,0.0,0.0,0.052337294603595756,0.09997923508194452
SC,0.0,0.23640084442381626,0.0,0.0,0.0,1.9144801707716312,0.15730433228715465,0.23444711996366072
SD,0.0,0.0,0.0,0.0,0.0,2.7410777917877307,0.0,0.11278191248800282
TN,0.0,0.7381626393743334,0.20868679659506623,0.0,0.0,1.0197144799456153,0.22447852618011424,0.3328104832408217
TX,0.0,0.43545004633188494,0.13109920477844364,0.0,0.0,0.4001284412296347,0.12085012538632116,0.1646909188912664
UT,0.0,0.0,0.0,3.4855350296270475,0.0,0.0,0.20281054858225286,0.18339560633032728
VA,0.0,0.06336774201724871,0.0,0.0,0.0,0.4441444002274019,0.07907696620428388,0.08109930807228914
VT,0.0,0.0,0.0,0.0,0.0,0.0,0.17445887219317482,0.1555023737437352
WA,0.0,2.0258635243272445,0.6608680218237503,0.0,3.200512081933109,0.721585322954531,0.02033007916532827,0.25956224049453874
WI,0.0,1.3642267017363876,0.22356860202553153,4.133597883597884,0.0,0.9035096833650315,0.15105681505768861,0.2884427113750607
WV,0.0,3.0888507930624414,0.0,0.0,0.0,0.0,0.06254558009149168,0.16725055694435464
WY,0.0,0.0,1.6935948243742167,0.0,0.0,0.0,0.42583634257682085,0.520064973450683
Total,0.05096459413198759,0.4581342410433003,0.1546018850684382,0.5772618339786085,0.9644612117812152,0.46576728534557044,0.13196176895429348,0.19029970126681198
